,psu,hhld,sn,abs_sex,abs_age,abs_relhh,abs_edulvl,abs_rsn,abs_nummonth,abs_living,l10_1digit,l10_nsco
10709,1811,16,1,Male,32,Spouse,Class 12 and Intermediate,1,16,Qatar,D,3341
10710,1811,20,1,Male,45,Son/Daughter,Class 10,1,6,India,F,5120
10711,1811,20,2,Male,26,Son/Daughter,SLC and equiv.,1,3,Kathmandu,F,5120
10712,1811,7,1,Male,37,Spouse,Class 5,1,9,Kathmandu,J,9312
10713,1811,1,1,Male,31,Spouse,Class 6,1,6,Darchula,0,0
10714,1811,19,1,Male,17,Son/Daughter,Class 5,1,6,India,F,5120
10715,1811,18,1,Male,24,Son/Daughter,Class 8,1,5,India,F,5120
10716,1811,18,2,Male,21,Spouse,Class 7,1,2,India,F,5120
10717,1811,18,3,Male,20,Son/Daughter,Class 9,1,5,India,F,5120
10718,1811,4,1,Male,24,Brother/sister,Class 9,4,11,Qatar,H,7112
10719,1811,6,1,Male,36,Son/Daughter,Class 5,4,18,United Arab Emirates,I,8322
10720,1811,6,2,Female,33,Daughter-in-law,Class 8,7,3,Kailali,F,5142
10721,1811,6,3,Male,10,Grand son/daughter,Class 5,3,18,Chitawan,9,9999
10722,1811,10,1,Male,28,Son/Daughter,Class 8,4,4,India,F,5153
10723,1811,10,2,Female,26,Daughter-in-law,Class 5,4,4,India,J,9111
10724,1811,10,3,Male,4,Grand son/daughter,NA,5,4,India,,NA
10725,1811,5,1,Male,22,Son/Daughter,SLC and equiv.,4,7,Qatar,J,9412
10726,1811,9,1,Male,27,Son/Daughter,SLC and equiv.,1,2,Saptari,A,310
10727,1812,19,1,Male,32,Son/Daughter,Class 4,4,8,India,J,9412
10728,1812,19,2,Female,25,Daughter-in-law,Literate (Levelless),4,14,India,J,9111
10729,1812,19,3,Female,24,Daughter-in-law,Class 7,4,8,India,J,9111
10730,1812,19,4,Male,7,Grand son/daughter,Class 3,5,8,India,,NA
10731,1812,12,1,Male,32,Spouse,Literate (Levelless),1,38,Malaysia,J,9629
10732,1812,1,1,Male,52,Spouse,Class 9,4,10,India,J,9412
10733,1812,1,2,Male,27,Son/Daughter,Class 12 and Intermediate,1,3,United Arab Emirates,J,9412
10734,1812,1,3,Female,18,Son/Daughter,Class 12 and Intermediate,3,0,Kailali,9,9999
10735,1812,8,1,Male,50,Spouse,Literate (Levelless),3,1,Kathmandu,9,9999
10736,1812,8,2,Male,28,Son/Daughter,Class 3,4,4,India,J,9212
10737,1812,8,3,Male,19,Son/Daughter,Class 9,1,60,Qatar,0,0
10738,1812,2,1,Male,21,Son/Daughter,Class 10,1,36,United Arab Emirates,F,5132
10739,1812,3,1,Male,51,Spouse,Class 10,4,8,India,F,5414
10740,1812,20,1,Male,28,Son/Daughter,Class 7,4,24,India,F,5414
10741,1812,20,2,Female,27,Daughter-in-law,Class 7,4,12,India,H,7533
10742,1812,20,3,Male,24,Son/Daughter,Class 9,4,24,India,J,9321
10743,1812,16,1,Male,33,Son/Daughter,Class 10,4,5,India,F,5120
10744,1812,10,1,Male,24,Son/Daughter,Class 12 and Intermediate,1,15,Kaski,F,5412
10745,1812,6,1,Male,33,Spouse,Class 5,4,18,India,J,9112
10746,1812,15,1,Male,19,Son/Daughter,Class 10,4,30,Malaysia,J,9112
10747,1812,4,1,Male,37,Spouse,Class 10,4,5,India,F,5120
10748,1812,14,1,Male,20,Son/Daughter,Class 8,4,29,Malaysia,J,9122
10749,1813,2,1,Male,26,Spouse,Class 12 and Intermediate,1,7,Kailali,H,7112
10750,1813,2,2,Female,24,Daughter-in-law,Class 12 and Intermediate,2,5,Kailali,H,7531
10751,1813,2,3,Female,1,Grand son/daughter,NA,5,5,Kailali,,NA
10752,1813,4,1,Male,32,Son/Daughter,SLC and equiv.,1,4,Kailali,J,9313
10753,1813,4,2,Male,34,Son/Daughter,SLC and equiv.,1,8,Kailali,I,8331
10754,1813,4,3,Female,32,Daughter-in-law,Class 7,5,6,Kailali,9,9999
10755,1813,4,4,Male,12,Grand son/daughter,Class 4,3,6,Kailali,0,0
10756,1813,4,5,Female,14,Grand son/daughter,Class 10,3,6,Kailali,0,0
10757,1813,5,1,Male,20,Son/Daughter,SLC and equiv.,1,14,Malaysia,0,0
10758,1813,5,2,Male,24,Son/Daughter,Class 12 and Intermediate,1,8,Kailali,C,2341
10759,1813,5,3,Female,24,Daughter-in-law,SLC and equiv.,5,8,Kailali,9,9999
10760,1813,5,4,Male,4,Grand son/daughter,NA,5,8,Kailali,,NA
10761,1813,17,1,Male,33,Son/Daughter,SLC and equiv.,4,3,Kaski,H,7215
10762,1813,8,1,Male,30,Son/Daughter,SLC and equiv.,1,2,Lamjung,A,310
10763,1813,18,1,Male,27,Brother/sister,Class 10,4,2,Sindhupalchok,I,8212
10764,1813,18,2,Male,24,Brother/sister,Class 10,4,2,Dolakha,I,8212
10765,1813,12,1,Male,29,Son/Daughter,Class 7,4,2,Kathmandu,H,7111
10766,1813,12,2,Male,21,Son/Daughter,Class 8,4,2,Dolakha,I,8212
10767,1813,12,3,Female,25,Son/Daughter,SLC and equiv.,3,2,Kailali,9,9999
