,Variable,Himalaya_Mean,Himalaya_Sd.,Himalaya_Min.,Himalaya_Max.,Hill_Mean,Hill_Sd.,Hill_Min.,Hill_Max.,Terai_Mean,Terai_Sd.,Terai_Min.,Terai_Max.,Total_Mean,Total_Sd.,Total_Min.,Total_Max.
1,age,47.3487738419619,13.3969816505393,18,81,45.6543696275072,14.1195624817463,16,95,45.9569356300997,12.9526069462928,17,93,45.8946877912395,13.6059072426094,16,95
2,sex,0.754768392370572,0.430811774455106,0,1,0.717406876790831,0.450340858122416,0,1,0.745693563009973,0.435569369004275,0,1,0.731593662628145,0.443171505464733,0,1
3,caste,0.103542234332425,0.305081710345514,0,1,0.171561604584527,0.377066498351619,0,1,0.127833182230281,0.33397967446068,0,1,0.148928238583411,0.356050906236998,0,1
4,fam_size,4.91280653950954,2.40514578660432,1,15,4.54477077363897,2.05237788466803,1,19,5.19038984587489,2.62207930721074,1,21,4.8354147250699,2.34710188290563,1,21
5,can_read,0.460490463215259,0.499117011907496,0,1,0.634312320916905,0.481708740338134,0,1,0.533091568449683,0.499016863602994,0,1,0.580801491146319,0.493473919140364,0,1
6,can_write,0.457765667574932,0.498893222714563,0,1,0.626074498567335,0.483930882904025,0,1,0.520852221214869,0.499678262845347,0,1,0.571295433364399,0.494936986464054,0,1
7,ever_school,0.493188010899183,0.500636125473475,0,1,0.644699140401146,0.478690119474967,0,1,0.550317316409791,0.497574515154107,0,1,0.595526561043802,0.490835595620986,0,1
8,grade_comp,0.103542234332425,0.305081710345514,0,1,0.199140401146132,0.399425392084558,0,1,0.13961922030825,0.346670120433514,0,1,0.168126747437092,0.374013660292922,0,1
9,agriculture_land,0.918256130790191,0.274348129146909,0,1,0.702363896848137,0.457300507664895,0,1,0.696736174070716,0.459772447144702,0,1,0.714818266542404,0.451543039250582,0,1
10,never_married,0.0108991825613079,0.103970404439581,0,1,0.0236389684813754,0.15194879778418,0,1,0.00543970988213962,0.0735701910249262,0,1,0.0152842497670084,0.12269249095866,0,1
11,single_married,0.694822888283379,0.461111046828724,0,1,0.756446991404012,0.429302866248397,0,1,0.815049864007253,0.388345139825171,0,1,0.776328052190121,0.416743541594681,0,1
12,poly_married,0.0326975476839237,0.178086592707498,0,1,0.0279369627507163,0.164821779155765,0,1,0.0235720761559383,0.151746076303211,0,1,0.0264678471575023,0.160536924013122,0,1
13,re_married,0.122615803814714,0.328443459500041,0,1,0.0744985673352436,0.262627558875408,0,1,0.0652765185856754,0.247069152532607,0,1,0.0739981360671016,0.26179225814482,0,1
14,widow_widower,0.111716621253406,0.315447546273156,0,1,0.100644699140401,0.300911573102102,0,1,0.0802357207615594,0.271719374232729,0,1,0.0930102516309413,0.290473874332408,0,1
15,divorced,0.00272479564032698,0.0521995750971881,0,1,0.00429799426934097,0.065429770316733,0,1,0.000906618313689937,0.0301032747208974,0,1,0.00279589934762349,0.0528072160899962,0,1
16,separated,0.0245231607629428,0.154877807936047,0,1,0.0125358166189112,0.11127940119439,0,1,0.00951949229374433,0.0971243928806792,0,1,0.0121155638397018,0.109412102932727,0,1
17,Total Count,367,NA,NA,NA,2792,NA,NA,NA,2206,NA,NA,NA,5365,NA,NA,NA
