,Variable,Himalaya_Mean,Himalaya_Sd.,Himalaya_Min.,Himalaya_Max.,Hill_Mean,Hill_Sd.,Hill_Min.,Hill_Max.,Terai_Mean,Terai_Sd.,Terai_Min.,Terai_Max.,Total_Mean,Total_Sd.,Total_Min.,Total_Max.
1,sex,0.787333854573886,0.409353481294545,0,1,0.678524215839442,0.467071002952806,0,1,0.715154211150652,0.451374429730993,0,1,0.702153695545766,0.45732557321785,0,1
2,age,45.6958561376075,14.7460688917486,15,93,45.5609902655931,14.916721134481,15,94,45.0894128113879,13.9525003198336,14,101,45.3769579050416,14.5141229981145,14,101
3,caste,0.0961688819390148,0.294938028982601,0,1,0.145775748107199,0.352902460092955,0,1,0.126037959667853,0.33191674890612,0,1,0.133749388154674,0.340393270536538,0,1
4,can_read,0.585613760750586,0.492808448407135,0,1,0.68513399831751,0.464490399471234,0,1,0.620996441281139,0.485174984435474,0,1,0.650881057268722,0.476706210018,0,1
5,can_write,0.585613760750586,0.492808448407135,0,1,0.684893642591035,0.464586138571835,0,1,0.620996441281139,0.485174984435474,0,1,0.650758688203622,0.476744925827134,0,1
6,ever_school,0.585613760750586,0.492808448407135,0,1,0.686215599086648,0.464057788335993,0,1,0.623368920521945,0.48457706074019,0,1,0.652410670582477,0.476219343599612,0,1
7,grade_comp,0.222830336200156,0.416308159553993,0,1,0.258021872371109,0.437572389618172,0,1,0.24629300118624,0.43088314941719,0,1,0.250428291727851,0.433272948987038,0,1
8,tec_voc_training,0.071931196247068,0.258475017855602,0,1,0.113568080759524,0.317305013506601,0,1,0.115065243179122,0.319124323534145,0,1,0.110927557513461,0.314052016466333,0,1
9,fam_size,4.4972634870993,2.14128148601514,1,18,4.08063934623242,1.90819623215696,1,22,4.68534994068802,2.37330026360008,1,27,4.36276309348997,2.1496678517607,1,27
10,own_land_own,0.900703674745895,0.299176447448534,0,1,0.72202860233145,0.448026140687684,0,1,0.598606168446026,0.490216744985445,0,1,0.685083210964268,0.464496938671493,0,1
11,other_land_own,0.157154026583268,0.364088289023473,0,1,0.137002764090854,0.343870931339425,0,1,0.179863582443654,0.38410226577091,0,1,0.156265296133138,0.363117778158521,0,1
12,own_land_other,0.0758405003909304,0.264846297679293,0,1,0.10779954332412,0.310145710490035,0,1,0.116399762752076,0.320727471485355,0,1,0.108847283406755,0.311457039633292,0,1
13,hhg_tot30,66.9945269741986,65.2274398229748,0,370,53.6236029323399,66.3874328537529,0,390,40.0827402135231,55.3803504576455,0,375,49.0825991189427,62.5367377757464,0,390
14,never_married,0.128225175918686,0.334471146276007,0,1,0.114649681528662,0.318617846628375,0,1,0.07858837485172,0.269115181782971,0,1,0.100832109642682,0.301115497679004,0,1
15,married,0.865519937451134,0.341300822388037,0,1,0.875015022232905,0.330721752806061,0,1,0.915035587188612,0.278849405898534,0,1,0.890785609397944,0.311917553669714,0,1
16,widow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,separated,0.00547302580140735,0.0738060352856948,0,1,0.00901333974281937,0.0945154644444244,0,1,0.00563463819691578,0.0748579986951073,0,1,0.00734214390602056,0.0853737827645751,0,1
18,divorced,0.000781860828772478,0.0279617744210284,0,1,0.00132195649561351,0.0363368629024953,0,1,0.000741399762752076,0.0272205796898482,0,1,0.00104013705335291,0.0322353648382938,0,1
19,Total Count,1279,NA,NA,NA,8321,NA,NA,NA,6744,NA,NA,NA,16344,NA,NA,NA
